College Name,Location,State,Year Established,Type,Mode,Course,Duration (Years),Fees (INR/year),Entrance Exam,Cutoff Rank,Average Placement %,Highest Package (LPA),Average Package (LPA),Living Cost (INR/month),Hostel Availability,Student-Faculty Ratio,Ranking,Source
Indian Institute of Technology Madras,Chennai,Tamil Nadu,1959,Public,Full-Time,B.Tech,4,130000,JEE Advanced,50,90,70,20,8000,Yes,10,1,https://www.iitm.ac.in/
Indian Institute of Technology Bombay,Mumbai,Maharashtra,1958,Public,Full-Time,B.Tech,4,140000,JEE Advanced,60,88,75,18,9000,Yes,11,2,https://www.iitb.ac.in/
Indian Institute of Technology Delhi,New Delhi,Delhi,1961,Public,Full-Time,B.Tech,4,145000,JEE Advanced,55,92,80,22,8500,Yes,10,3,https://home.iitd.ac.in/
Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,1959,Public,Full-Time,B.Tech,4,135000,JEE Advanced,58,89,78,19,7500,Yes,12,4,https://www.iitk.ac.in/
Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,1951,Public,Full-Time,B.Tech,4,120000,JEE Advanced,65,85,68,17,7000,Yes,13,5,https://www.iitkgp.ac.in/
Birla Institute of Technology and Science Pilani,Pilani,Rajasthan,1964,Private,Full-Time,B.Tech,4,200000,Direct Admission,5000,80,40,15,6000,Yes,15,6,https://www.bits-pilani.ac.in/
National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,1964,Public,Full-Time,B.Tech,4,90000,JEE Main,2000,82,50,14,6500,Yes,18,7,https://www.nitt.edu/
Vellore Institute of Technology,Vellore,Tamil Nadu,1984,Private,Full-Time,B.Tech,4,180000,Direct Admission,7000,78,35,12,7000,Yes,20,8,https://vit.ac.in/
Delhi Technological University,New Delhi,Delhi,1941,Public,Full-Time,B.Tech,4,100000,JEE Main,1500,75,30,10,8000,Yes,22,9,https://dtu.ac.in/
Jadavpur University,Kolkata,West Bengal,1955,Public,Full-Time,B.Tech,4,85000,JEE Main,1800,70,25,8,6000,Yes,25,10,https://www.jaduniv.edu.in/
Indian Institute of Technology Guwahati,Guwahati,Assam,1994,Public,Full-Time,B.Tech,4,110000,JEE Advanced,120,83,55,18,7000,Yes,13,11,https://www.iitg.ac.in/
Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,1847,Public,Full-Time,B.Tech,4,115000,JEE Advanced,150,80,48,16,6800,Yes,14,12,https://www.iitr.ac.in/
Indian Institute of Technology Hyderabad,Hyderabad,Telangana,2008,Public,Full-Time,B.Tech,4,125000,JEE Advanced,200,77,44,14,7200,Yes,16,13,https://www.iith.ac.in/
Anna University,Chennai,Tamil Nadu,1978,Public,Full-Time,B.Tech,4,60000,TNEA,5000,72,30,12,6000,Yes,20,14,https://www.annauniv.edu/
College of Engineering,Guindy,Chennai,1974,Public,Full-Time,B.Tech,4,70000,TNEA,4500,75,32,13,6200,Yes,19,15,https://www.ceg.edu.in/
Manipal Institute of Technology,Manipal,Karnataka,1957,Private,Full-Time,B.Tech,4,175000,Direct Admission,8000,70,27,11,6500,Yes,21,16,https://manipal.edu/mit.html
Jamia Millia Islamia,New Delhi,Delhi,1920,Public,Full-Time,B.Tech,4,90000,Direct Admission,10000,68,22,9,6000,Yes,25,17,https://www.jmi.ac.in/
National Institute of Technology Karnataka,Mangalore,Karnataka,1960,Public,Full-Time,B.Tech,4,85000,JEE Main,3500,74,29,10,6200,Yes,22,18,https://nitk.ac.in/
Shiv Nadar University,Gautam Buddha Nagar,Uttar Pradesh,2011,Private,Full-Time,B.Tech,4,190000,Direct Admission,9000,65,20,8,7000,Yes,25,19,https://snu.edu.in/
National Institute of Technology Warangal,Warangal,Telangana,1959,Public,Full-Time,B.Tech,4,95000,JEE Main,4000,70,25,10,6300,Yes,23,20,https://www.nitw.ac.in/
Thapar Institute of Engineering and Technology,Patiala,Punjab,1956,Private,Full-Time,B.Tech,4,165000,Direct Admission,6000,69,23,9,6500,Yes,24,21,https://www.thapar.edu/
Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,2008,Public,Full-Time,B.Tech,4,120000,JEE Advanced,500,75,30,11,7000,Yes,20,22,https://www.iitbbs.ac.in/
Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,2008,Public,Full-Time,B.Tech,4,115000,JEE Advanced,600,74,28,10,6800,Yes,21,23,https://iitgn.ac.in/
Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,2008,Public,Full-Time,B.Tech,4,110000,JEE Advanced,650,72,27,9,6700,Yes,22,24,https://www.iitj.ac.in/
Indian Institute of Technology Patna,Patna,Bihar,2008,Public,Full-Time,B.Tech,4,105000,JEE Advanced,700,70,25,8,6500,Yes,23,25,https://www.iitp.ac.in/
Indian Institute of Technology Ropar,Rupnagar,Punjab,2008,Public,Full-Time,B.Tech,4,110000,JEE Advanced,750,69,24,8,6600,Yes,24,26,https://www.iitrpr.ac.in/
Indian Institute of Technology Indore,Indore,Madhya Pradesh,2009,Public,Full-Time,B.Tech,4,108000,JEE Advanced,780,68,22,7,6500,Yes,25,27,https://www.iiti.ac.in/
Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,2009,Public,Full-Time,B.Tech,4,105000,JEE Advanced,800,67,21,7,6400,Yes,26,28,https://iitmandi.ac.in/
Indian Institute of Technology (ISM) Dhanbad,Dhanbad,Jharkhand,1926,Public,Full-Time,B.Tech,4,95000,JEE Advanced,900,65,20,6,6000,Yes,28,29,https://www.iitism.ac.in/
National Institute of Technology Calicut,Calicut,Kerala,1961,Public,Full-Time,B.Tech,4,85000,JEE Main,4500,70,23,9,6000,Yes,27,30,https://www.nitc.ac.in/
National Institute of Technology Surathkal,Surathkal,Karnataka,1960,Public,Full-Time,B.Tech,4,90000,JEE Main,4200,72,25,10,6200,Yes,26,31,https://www.nits.ac.in/
Indian Institute of Information Technology,Allahabad,Allahabad,1999,Public,Full-Time,B.Tech,4,120000,JEE Main,3000,70,24,9,7000,Yes,27,32,https://www.iiita.ac.in/
Indraprastha Institute of Information Technology,Delhi,Delhi,2008,Public,Full-Time,B.Tech,4,110000,JEE Main,3200,69,23,8,6800,Yes,28,33,https://iiitd.ac.in/
Manipal University Jaipur,Jaipur,Rajasthan,2011,Private,Full-Time,B.Tech,4,180000,Direct Admission,7000,68,20,8,7200,Yes,30,34,https://jaipur.manipal.edu/
PSG College of Technology,Coimbatore,Tamil Nadu,1951,Private,Full-Time,B.Tech,4,85000,TNEA,5000,72,22,7,6000,Yes,30,35,https://psgtech.edu/
Shivaji University,Kolhapur,Maharashtra,1962,Public,Full-Time,B.Tech,4,60000,Direct Admission,8000,65,18,6,5500,Yes,32,36,https://www.unishivaji.ac.in/
Chandigarh University,Chandigarh,Chandigarh,2012,Private,Full-Time,B.Tech,4,170000,Direct Admission,6500,68,21,7,7000,Yes,31,37,https://www.cuchd.in/
Lovely Professional University,Jalandhar,Punjab,2005,Private,Full-Time,B.Tech,4,190000,Direct Admission,9000,66,20,6,7200,Yes,33,38,https://www.lpu.in/
R.V. College of Engineering,Bangalore,Karnataka,1963,Private,Full-Time,B.Tech,4,90000,Direct Admission,6000,70,25,9,6500,Yes,29,39,https://rvce.edu.in/
Amity University,Noida,Uttar Pradesh,2005,Private,Full-Time,B.Tech,4,180000,Direct Admission,8500,65,19,7,7000,Yes,34,40,https://www.amity.edu/
National Institute of Technology Durgapur,Durgapur,West Bengal,1960,Public,Full-Time,B.Tech,4,80000,JEE Main,4700,69,22,8,6000,Yes,31,41,https://www.nitdgp.ac.in/
Institute of Chemical Technology,Mumbai,Maharashtra,1933,Public,Full-Time,B.Tech,4,130000,JEE Advanced,700,71,23,9,6500,Yes,30,42,https://www.ictmumbai.edu.in/
Jamia Hamdard University,New Delhi,Delhi,1989,Private,Full-Time,B.Tech,4,150000,Direct Admission,7500,67,21,7,6200,Yes,32,43,https://jamiahamdard.edu.in/
SRM Institute of Science and Technology,Chennai,Tamil Nadu,1985,Private,Full-Time,B.Tech,4,170000,Direct Admission,9000,68,20,7,7000,Yes,33,44,https://www.srmist.edu.in/
SASTRA University,Thanjavur,Tamil Nadu,1984,Private,Full-Time,B.Tech,4,140000,Direct Admission,6500,69,22,8,6500,Yes,31,45,https://www.sastra.edu/
Guru Gobind Singh Indraprastha University,New Delhi,Delhi,1998,Public,Full-Time,B.Tech,4,85000,Direct Admission,5500,70,23,9,6000,Yes,29,46,https://ipu.ac.in/
Punjab Engineering College,Chandigarh,Chandigarh,1921,Public,Full-Time,B.Tech,4,90000,JEE Main,4000,68,21,8,6200,Yes,30,47,https://pec.ac.in/
Bennett University,Gurgaon,Haryana,2016,Private,Full-Time,B.Tech,4,195000,Direct Admission,10000,65,19,7,7000,Yes,34,48,https://www.bennett.edu.in/
Sri Sivasubramaniya Nadar College of Engineering,Chengalpattu,Tamil Nadu,1996,Private,Full-Time,B.Tech,4,140000,Direct Admission,7500,67,21,7,6400,Yes,32,49,https://www.ssn.edu.in/
International Institute of Information Technology Hyderabad,Hyderabad,Telangana,1998,Private,Full-Time,B.Tech,4,180000,JEE Advanced,300,75,30,12,7000,Yes,29,50,https://www.iiit.ac.in/